"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"mt-Atp8",105.66925359564,2.12942537510289,0.243848984969974,6.56776608523429e-20,1.39433673989524e-16
"Fosb",7.94206944409035,1.73957141600438,0.475473500397241,7.6071511956996e-06,0.000259831564354956
"Nme7",106.35308686753,1.63202425138399,0.250927880751189,4.36121903077514e-12,1.54314466705594e-09
"Gm42418",3675.1936174939,1.61108065493412,0.483364177177422,3.369222103422e-05,0.000870642117301766
"Brd1",35.0468065680323,-1.58604338142189,0.116556887042857,6.28652536385363e-43,5.3385173389845e-39
"Plac8",5.64384569085876,-1.53069497956337,0.584934853235415,0.000188875231882233,0.00340536829966862
"Pbxip1",4.63958964842759,1.48534674102781,0.397263033927074,1.21610310685091e-05,0.000376903196473648
"Dlg2",106.85776055819,-1.48443532048939,0.240949333373942,4.19538992559544e-11,1.07961367418656e-08
"Eps8l1",4.20763855549382,1.40878725282588,0.264521205586906,5.35365813099171e-09,7.10363513255962e-07
"Ptprz1",9.19105934356641,1.34924347111668,0.426288308406591,4.69787342439799e-05,0.00110817614222188
"Dio2",3.7671148514865,-1.33820373722204,0.400056998051402,4.58857587110066e-05,0.00109148981225173
"Trib3",9.03010808218136,-1.33647800032735,0.309371766585579,6.32209126827373e-07,3.70256545173659e-05
"Cast",4.58822123661992,1.33302369904602,0.426718397340225,7.44169078716634e-05,0.00156934233436731
"Mbd2",47.0460116770745,-1.28741552390394,0.128899988294036,1.36433633936844e-24,5.79297209695838e-21
"Csnk2a2",16.3429414658355,-1.24086442569538,0.155759421036142,5.05243218160248e-17,5.36315676077103e-14
"Tsix",14.1849288147318,1.23046135343156,0.297177217438444,1.73299943919601e-06,8.13073549041575e-05
"Hist1h4d",30.8143752222786,1.15196899515318,0.190606409921696,8.08472500988106e-11,1.96158527954028e-08
"Nmt1",17.1838069009074,1.14197992945745,0.31807127743392,1.69010592393376e-05,0.000501831451260332
"Kirrel2",126.678638127399,-1.09298090171035,0.191710263339243,5.79115447425691e-10,1.11769281353158e-07
"Akap12",4.09911569713241,1.08678914353835,0.394813007293733,0.000310508959472126,0.00492867679221924
