"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0140236","GO:0140236","translation at presynapse",47,-0.796902172625248,-3.05042191104705,1e-10,2.43e-08,1.79938080495356e-08,853,"tags=68%, list=10%, signal=62%","Rpl5/Rpl34/Rps24/Rpl23a/Rpl32/Rpl7a/Rpl13/Rpl12/Rps26/Rps14/Rpl22/Rpl7/Rpl8/Rps11/Rpl23/Rps12/Rpl28/Rpl35a/Rpl15/Rps27a/Rpl27a/Rpl17/Rps15a/Rpl26/Rpl27/Rps5/Rpl29/Rps16/Rps10/Rpl10/Rpl10a/Rpl9"
"GO:0140241","GO:0140241","translation at synapse",48,-0.792574993585744,-3.02086769501926,1e-10,2.43e-08,1.79938080495356e-08,853,"tags=67%, list=10%, signal=60%","Rpl5/Rpl34/Rps24/Rpl23a/Rpl32/Rpl7a/Rpl13/Rpl12/Rps26/Rps14/Rpl22/Rpl7/Rpl8/Rps11/Rpl23/Rps12/Rpl28/Rpl35a/Rpl15/Rps27a/Rpl27a/Rpl17/Rps15a/Rpl26/Rpl27/Rps5/Rpl29/Rps16/Rps10/Rpl10/Rpl10a/Rpl9"
"GO:0140242","GO:0140242","translation at postsynapse",48,-0.792574993585744,-3.02086769501926,1e-10,2.43e-08,1.79938080495356e-08,853,"tags=67%, list=10%, signal=60%","Rpl5/Rpl34/Rps24/Rpl23a/Rpl32/Rpl7a/Rpl13/Rpl12/Rps26/Rps14/Rpl22/Rpl7/Rpl8/Rps11/Rpl23/Rps12/Rpl28/Rpl35a/Rpl15/Rps27a/Rpl27a/Rpl17/Rps15a/Rpl26/Rpl27/Rps5/Rpl29/Rps16/Rps10/Rpl10/Rpl10a/Rpl9"
"GO:0032543","GO:0032543","mitochondrial translation",111,-0.590311151126162,-2.59692935031436,1e-10,2.43e-08,1.79938080495356e-08,1202,"tags=54%, list=14%, signal=47%","Mrpl35/Mrps18a/Mrpl50/Mrpl46/Gadd45gip1/Mrpl30/Mrpl10/Mrpl49/Mrpl24/Mrps33/Mrpl14/Mrpl34/Mrpl33/Mrpl11/Mrpl53/Mrpl3/Mrpl40/Chchd1/Mrps15/Mrpl58/Gatc/Aurkaip1/Mrps10/Mrps31/Coa3/Mrpl55/Mrpl42/Mrpl28/Mrps26/Mrpl32/Uqcc2/Mrps28/Mrps34/Mrpl54/Mrpl43/Mrps17/Mrpl27/Mrps12/Mrpl36/Mrpl20/Mrpl18/Trmt10c/Mrpl23/Mrps16/Mrpl41/Mrps24/Tsfm/Mrps7/Mrpl22/Mrpl44/Mrps22/Mrpl17/Mrps14/Ngrn/Mrps18b/Mrpl21/Mrpl12/Mrpl57/Mrpl4/Mrps6"
"GO:0140053","GO:0140053","mitochondrial gene expression",134,-0.537826513437384,-2.54840948067797,1e-10,2.43e-08,1.79938080495356e-08,1321,"tags=50%, list=16%, signal=43%","Mrpl15/Sirt3/Kat8/Mrps21/Mrpl35/Hsd17b10/Mrps18a/Mrpl50/Mrpl46/Tfb2m/Gadd45gip1/Mrpl30/Mrpl10/Mrpl49/Mrpl24/Mrps33/Mrpl14/Mrpl34/Mrpl33/Mrpl11/Mrpl53/Mrpl3/Mrpl40/Chchd1/Mrps15/Mrpl58/Gatc/Aurkaip1/Mrps10/Mrps31/Coa3/Mrpl55/Mrpl42/Mrpl28/Mrps26/Thap11/Mrpl32/Uqcc2/Mrps28/Mrps34/Mrpl54/Mrpl43/Mrps17/Mrpl27/Mrps12/Mrpl36/Mrpl20/Mrpl18/Trmt10c/Mrpl23/Mrps16/Mrpl41/Mrps24/Tsfm/Mrps7/Mrpl22/Mrpl44/Mrps22/Mrpl17/Mrps14/Ngrn/Mrps18b/Mrpl21/Mrpl12/Mrpl57/Mrpl4/Mrps6"
"GO:0051960","GO:0051960","regulation of nervous system development",252,0.569057570000521,1.7458665186775,1e-10,2.43e-08,1.79938080495356e-08,2015,"tags=46%, list=24%, signal=36%","Ptprz1/Sema7a/Cdh4/Negr1/Arhgap32/Ppp3ca/Ptprs/Plxnb2/Flrt1/Dcx/Slc7a5/Il6st/Robo2/Nin/Clstn2/Dip2b/Casz1/Nf2/Dnm1l/Cyfip1/Lingo1/Braf/Adgrl1/Rb1/D130043K22Rik/Map1b/Ptn/Ctnnd2/Tenm4/Cdh2/Bmpr2/Myo5b/Adgrl2/Prkci/Golga4/Fzd3/Dscam/Macf1/Itgb1/Ttc3/Robo1/Kifap3/Adgrl3/Hook3/Synj1/Drd2/Serpine2/Clstn1/Cux1/Kalrn/Ctnna1/Megf8/Nrxn1/Bin1/Ski/Numb/Plxnb1/Anapc2/Lrrn1/Bcl11a/Spen/Dock7/Tbc1d24/Efna5/Dicer1/Pcm1/Nrp1/Sorl1/Hmgb2/App/Pak1/Tnik/Map6/Tnfrsf21/Arhgef2/Grip1/Pard3/Eif2ak3/Mecp2/Srcin1/Dhx36/Adnp/Chd7/Plxna3/Golga2/Rufy3/Hdac6/Skil/Ttbk1/Bmpr1a/Tsc2/Nf1/Slc25a12/Dag1/Zfyve27/Psen1/Ep300/L1cam/Kdm4a/Lrp8/Lpin1/Hap1/Ufl1/Btg2/Gsk3b/Actr2/Mtor/Tppp/Shtn1/Trak2/Gdi1/Mfn2/Rlim/Ptpn13/Ndel1"
"GO:0048812","GO:0048812","neuron projection morphogenesis",372,0.538656121586947,1.66587135980434,1e-10,2.43e-08,1.79938080495356e-08,2041,"tags=44%, list=24%, signal=35%","Ptprz1/Sema7a/Cdh4/Dst/Negr1/Ptprj/Arhgap32/Ppp3ca/Ptprs/Plxnb2/Flrt1/Dcx/Sema6a/Unc5b/Robo2/Diaph2/Tubb2b/Igf1r/Nin/Dip2b/Map1a/Myo9a/Dnm1l/Stxbp5/Rtn4rl1/Cyfip1/Atp9a/Zswim6/Braf/Auts2/Sptbn4/D130043K22Rik/Mycbp2/Cdk5r2/Map1b/Ptn/Ctnnd2/Mef2a/Ncam1/Plxna4/Nyap2/Kidins220/Ank3/Foxp1/Aplp2/Cdh2/Bmpr2/Kif5a/Myo5b/Plxna1/Sema4g/Tanc2/Bcl7a/Golga4/Fzd3/Dscam/Clasp2/Rims2/Atp8a2/Ece1/Macf1/Itgb1/Ttc3/Robo1/Megf9/Ptch1/Spag9/Epb41l3/Kirrel3/Drd2/Myh10/Kif1a/Cux1/Iqgap1/Ppp1r12b/Kalrn/Cacna1a/Megf8/Sipa1l1/Ctnna2/Celsr2/Numb/Plxnb1/Anapc2/Usp9x/Bcl11a/Abi1/Dock7/Tbc1d24/Efna5/Dicer1/Nrp1/Diaph1/Tmem106b/Arhgap35/App/Pak1/Tnik/Hecw1/Rere/Raph1/Map6/Grip1/Sh3gl2/Ppfia2/Mecp2/Taok2/Abl2/Map4k4/Rock2/Mapk8ip3/Srcin1/Dhx36/Adnp/Trio/Brsk1/Abi2/Plxna3/Golga2/Rufy3/Hdac6/Mapk8ip2/Skil/Itsn2/Sin3a/Syt1/Cyfip2/Tsc2/Btbd3/Vps13a/Kif13b/Gas1/Atg16l1/Dscaml1/Enah/Rock1/Stxbp1/Rnf157/Rims1/Afg3l2/Dag1/Zfyve27/Ppp1r12a/Psen1/Ep300/Celsr3/Camk2a/Zdhhc17/L1cam/Nedd4/Lrp8/Gsk3b/Actr2/Nedd4l/Hecw2/Shtn1/Trak2/Gdi1/Mfn2/Arhgef28/Ndel1/Apc/Nckap1/Srgap2"
"GO:0048667","GO:0048667","cell morphogenesis involved in neuron differentiation",330,0.538850383833876,1.66141190535755,1e-10,2.43e-08,1.79938080495356e-08,1982,"tags=42%, list=23%, signal=34%","Ptprz1/Sema7a/Cdh4/Dst/Ptprj/Arhgap32/Ppp3ca/Ptprs/Plxnb2/Dcx/Sema6a/Unc5b/Robo2/Diaph2/Tubb2b/Igf1r/Nin/Dip2b/Map1a/Dnm1l/Stxbp5/Rtn4rl1/Cyfip1/Braf/Auts2/Sptbn4/Rb1/D130043K22Rik/Mycbp2/Cdk5r2/Map1b/Ptn/Ctnnd2/Mef2a/Ncam1/Plxna4/Kidins220/Ank3/Foxp1/Aplp2/Cdh2/Bmpr2/Kif5a/Myo5b/Sema4g/Tanc2/Golga4/Cdhr1/Fzd3/Dscam/Clasp2/Atp8a2/Ece1/Macf1/Itgb1/Ttc3/Robo1/Megf9/Ptch1/Drd2/Myh10/Kif1a/Cux1/Kalrn/Cacna1a/Megf8/Sipa1l1/Ctnna2/Cdh23/Celsr2/Numb/Plxnb1/Anapc2/Usp9x/Bcl11a/Abi1/Dock7/Tbc1d24/Efna5/Bbs1/Nrp1/Diaph1/Tmem106b/Arhgap35/App/Pak1/Tnik/Hecw1/Rere/Raph1/Map6/Grip1/Sod1/Ppfia2/Taok2/Abl2/Rock2/Mapk8ip3/Srcin1/Dhx36/Adnp/Trio/Brsk1/Abi2/Plxna3/Golga2/Rufy3/Hdac6/Mapk8ip2/Skil/Sin3a/Cyfip2/Tsc2/Btbd3/Kif13b/Gas1/Atg16l1/Dscaml1/Enah/Stxbp1/Afg3l2/Dag1/Zfyve27/Psen1/Ep300/Celsr3/Camk2a/Zdhhc17/L1cam/Nedd4/Lrp8/Gsk3b/Actr2/Nedd4l/Hecw2/Shtn1/Trak2/Gdi1/Mfn2/Arhgef28"
"GO:0120039","GO:0120039","plasma membrane bounded cell projection morphogenesis",376,0.535298820387125,1.65532569196121,1e-10,2.43e-08,1.79938080495356e-08,2041,"tags=44%, list=24%, signal=35%","Ptprz1/Sema7a/Cdh4/Dst/Negr1/Ptprj/Arhgap32/Ppp3ca/Ptprs/Plxnb2/Flrt1/Dcx/Sema6a/Unc5b/Robo2/Diaph2/Tubb2b/Igf1r/Nin/Dip2b/Map1a/Myo9a/Dnm1l/Stxbp5/Rtn4rl1/Cyfip1/Atp9a/Zswim6/Braf/Auts2/Sptbn4/D130043K22Rik/Mycbp2/Cdk5r2/Map1b/Ptn/Ctnnd2/Mef2a/Ncam1/Plxna4/Nyap2/Kidins220/Ank3/Foxp1/Aplp2/Cdh2/Bmpr2/Kif5a/Myo5b/Plxna1/Sema4g/Tanc2/Bcl7a/Golga4/Fzd3/Dscam/Clasp2/Rims2/Atp8a2/Ece1/Macf1/Itgb1/Ttc3/Robo1/Megf9/Ptch1/Spag9/Epb41l3/Kirrel3/Drd2/Myh10/Kif1a/Cux1/Iqgap1/Ppp1r12b/Kalrn/Cacna1a/Megf8/Sipa1l1/Ctnna2/Celsr2/Numb/Plxnb1/Anapc2/Usp9x/Bcl11a/Abi1/Dock7/Tbc1d24/Efna5/Dicer1/Nrp1/Diaph1/Tmem106b/Arhgap35/App/Pak1/Tnik/Hecw1/Rere/Raph1/Map6/Grip1/Sh3gl2/Ppfia2/Mecp2/Taok2/Abl2/Map4k4/Rock2/Mapk8ip3/Srcin1/Dhx36/Adnp/Trio/Brsk1/Abi2/Plxna3/Golga2/Rufy3/Hdac6/Mapk8ip2/Skil/Itsn2/Sin3a/Syt1/Cyfip2/Tsc2/Btbd3/Vps13a/Kif13b/Gas1/Atg16l1/Dscaml1/Enah/Rock1/Stxbp1/Rnf157/Rims1/Afg3l2/Dag1/Zfyve27/Ppp1r12a/Psen1/Ep300/Celsr3/Camk2a/Zdhhc17/L1cam/Nedd4/Lrp8/Gsk3b/Actr2/Nedd4l/Hecw2/Shtn1/Trak2/Gdi1/Mfn2/Arhgef28/Ndel1/Apc/Nckap1/Srgap2"
"GO:0048858","GO:0048858","cell projection morphogenesis",377,0.535110242076378,1.65481186840947,1e-10,2.43e-08,1.79938080495356e-08,2041,"tags=44%, list=24%, signal=35%","Ptprz1/Sema7a/Cdh4/Dst/Negr1/Ptprj/Arhgap32/Ppp3ca/Ptprs/Plxnb2/Flrt1/Dcx/Sema6a/Unc5b/Robo2/Diaph2/Tubb2b/Igf1r/Nin/Dip2b/Map1a/Myo9a/Dnm1l/Stxbp5/Rtn4rl1/Cyfip1/Atp9a/Zswim6/Braf/Auts2/Sptbn4/D130043K22Rik/Mycbp2/Cdk5r2/Map1b/Ptn/Ctnnd2/Mef2a/Ncam1/Plxna4/Nyap2/Kidins220/Ank3/Foxp1/Aplp2/Cdh2/Bmpr2/Kif5a/Myo5b/Plxna1/Sema4g/Tanc2/Bcl7a/Golga4/Fzd3/Dscam/Clasp2/Rims2/Atp8a2/Ece1/Macf1/Itgb1/Ttc3/Robo1/Megf9/Ptch1/Spag9/Epb41l3/Kirrel3/Drd2/Myh10/Kif1a/Cux1/Iqgap1/Ppp1r12b/Kalrn/Cacna1a/Megf8/Sipa1l1/Ctnna2/Celsr2/Numb/Plxnb1/Anapc2/Usp9x/Bcl11a/Abi1/Dock7/Tbc1d24/Efna5/Dicer1/Nrp1/Diaph1/Tmem106b/Arhgap35/App/Pak1/Tnik/Hecw1/Rere/Raph1/Map6/Grip1/Sh3gl2/Ppfia2/Mecp2/Taok2/Abl2/Map4k4/Rock2/Mapk8ip3/Srcin1/Dhx36/Adnp/Trio/Brsk1/Abi2/Plxna3/Golga2/Rufy3/Hdac6/Mapk8ip2/Skil/Itsn2/Sin3a/Syt1/Cyfip2/Tsc2/Btbd3/Vps13a/Kif13b/Gas1/Atg16l1/Dscaml1/Enah/Rock1/Stxbp1/Rnf157/Rims1/Afg3l2/Dag1/Zfyve27/Ppp1r12a/Psen1/Ep300/Celsr3/Camk2a/Zdhhc17/L1cam/Nedd4/Lrp8/Gsk3b/Actr2/Nedd4l/Hecw2/Shtn1/Trak2/Gdi1/Mfn2/Arhgef28/Ndel1/Apc/Nckap1/Srgap2"
